EmpID,BldgID
1000164,1000003
1002224,1000003
1000548,1000003
1003106,1000000
1003054,1000001
1001414,1000000
1002390,1000003
1000491,1000002
1000386,1000000
1000594,1000001
1002317,1000001
1001319,1000001
1001243,1000000
1002603,1000003
1003048,1000003
1002608,1000000
1003139,1000003
1001785,1000003
1000790,1000003
1002054,1000002
1000182,1000003
1003004,1000002
1001944,1000003
1002552,1000003
1000010,1000002
1002605,1000001
1000035,1000003
1000868,1000001
1002181,1000002
1002424,1000000
1002948,1000000
1001579,1000003
1001458,1000000
1000932,1000002
1002813,1000000
1000686,1000002
1000445,1000002
1000871,1000003
1002543,1000003
1001702,1000002
1000259,1000002
1002500,1000003
1002715,1000000
1000910,1000000
1002169,1000003
1002958,1000001
1000456,1000002
1001250,1000000
1000008,1000001
1000072,1000001
1002408,1000002
1002848,1000003
1003135,1000001
1002100,1000003
1003076,1000003
1000213,1000003
1002627,1000000
1001435,1000002
1001034,1000003
1001495,1000000
1002918,1000003
1002821,1000002
1000312,1000003
1000339,1000003
1000987,1000003
1002036,1000002
1000804,1000000
1001932,1000000
1001495,1000003
1001953,1000002
1002502,1000003
1002852,1000003
1002987,1000001
1000393,1000003
1000954,1000003
1000578,1000003
1001019,1000003
1000066,1000000
1002541,1000003
1001525,1000002
1002960,1000003
1000129,1000002
1003117,1000002
1000691,1000001
1001681,1000000
1002391,1000001
1000691,1000002
1000545,1000002
1001376,1000000
1002540,1000003
1001181,1000002
1002899,1000002
1000640,1000000
1000578,1000003
1000217,1000003
1001271,1000001
1000269,1000001
1000291,1000001
1002349,1000002
1000687,1000003
1002126,1000003
1001592,1000003
1000322,1000000
1000876,1000003
1001603,1000000
1001040,1000002
1000637,1000000
1000044,1000001
1000377,1000001
1001445,1000001
1002427,1000002
1002905,1000000
1000159,1000001
1003084,1000002
1000384,1000003
1001463,1000000
1001173,1000003
1001382,1000000
1002026,1000001
1000210,1000002
1001722,1000000
1001403,1000001
1000869,1000001
1000014,1000000
1002456,1000000
1001910,1000002
1000819,1000002
1000776,1000002
1000204,1000003
1000169,1000002
1000926,1000002
1001918,1000003
1002262,1000002
1002190,1000003
1000893,1000001
1001008,1000002
1000370,1000000
1001442,1000000
1003028,1000001
1001682,1000003
1002727,1000000
1000349,1000001
1001442,1000000
1000481,1000002
1001539,1000001
1000258,1000000
1002040,1000003
1000977,1000003
1000791,1000003
1001763,1000003
1000501,1000002
1002389,1000001
1000341,1000000
1001754,1000002
1001415,1000003
1001767,1000000
1002037,1000002
1001667,1000003
1001851,1000003
1000162,1000001
1000736,1000001
1002271,1000002
1003135,1000001
1002652,1000000
1001591,1000002
1003006,1000001
1001665,1000003
1002381,1000003
1001646,1000003
1001177,1000001
1000096,1000003
1002803,1000001
1002087,1000001
1000386,1000003
1002451,1000001
1000482,1000001
1002887,1000003
1001047,1000003
1000746,1000001
1002146,1000003
1000709,1000000
1002481,1000002
1001472,1000000
1000138,1000001
1000581,1000001
1000352,1000001
1001939,1000002
1000547,1000002
1001757,1000002
1001277,1000002
1002062,1000003
1001484,1000002
1001176,1000002
1000590,1000000
1000028,1000001
1001900,1000001
1001500,1000001
1001598,1000001
1002104,1000003
1002013,1000002
1002400,1000002
1001375,1000003
1002611,1000003
1000016,1000000
1002349,1000000
1002673,1000001
1001645,1000000
1002614,1000000
1000019,1000002
1001169,1000001
1002485,1000002
1000756,1000003
1002242,1000002
1001705,1000002
1000752,1000000
1001817,1000002
1001219,1000003
1002213,1000003
1001139,1000000
1002973,1000001
1001489,1000000
1000665,1000001
1001485,1000000
1001956,1000002
1000085,1000001
1000139,1000000
1002679,1000003
1003109,1000000
1000612,1000002
1001524,1000000
1001873,1000003
1002784,1000002
1002149,1000001
1002172,1000001
1001029,1000001
